date,state,district
2021-11-10,Sarawak,Miri
2021-11-16,Sarawak,Pusa
2021-11-23,Sarawak,Lawas
2021-12-01,Perak,Kinta
2021-12-01,Sarawak,Belaga
2021-12-05,Sarawak,Song
2021-12-12,Sarawak,Pusa
2021-12-16,Sarawak,Asajaya
2021-12-16,Sarawak,Lawas
2021-12-17,Sarawak,Lubok Antu
2021-12-19,Sarawak,Saratok
2021-12-24,Sarawak,Pusa
2021-12-25,Sarawak,Daro
2021-12-26,Sarawak,Belaga
2022-01-03,Sarawak,Bintulu
2022-01-08,Sarawak,Pakan
2022-01-09,Sarawak,Beluru
2022-01-12,Sarawak,Song
2022-01-12,Sarawak,Sri Aman
2022-01-14,Sarawak,Daro
2022-01-16,Sarawak,Kuching
2022-02-01,Sarawak,Bintulu
2022-02-03,Sarawak,Kabong
2022-02-08,Sarawak,Sri Aman
2022-02-15,Sarawak,Belaga
2022-02-25,Sarawak,Maradong
2022-02-25,Sarawak,Sarikei
2021-09-02,Sarawak,Betong
2021-09-02,Sarawak,Dalat
2021-09-13,Sarawak,Kabong
2021-09-13,Sarawak,Lundu
2021-09-16,Sarawak,Julau
