date,state,district
2021-11-28,Sarawak,Beluru
2021-12-09,Sarawak,Samarahan
2021-12-23,Sarawak,Kabong
2021-12-24,Sarawak,Tatau
2021-12-25,Sarawak,Kanowit
2021-12-25,Sarawak,Matu
2021-12-28,Sarawak,Subis
2021-12-30,Sarawak,Daro
2021-12-30,Sarawak,Sri Aman
2022-01-04,Sarawak,Tatau
2022-01-16,Sarawak,Lawas
2022-01-16,Sarawak,Marudi
2022-01-18,Sarawak,Matu
2022-01-21,Sarawak,Kabong
2022-01-22,Sarawak,Lawas
2022-01-24,Sarawak,Dalat
2022-01-24,Sarawak,Sarikei
2022-01-27,Perak,Kinta
2022-02-11,Sarawak,Sibu
2022-02-19,Sarawak,Kabong
2022-02-22,Sarawak,Pakan
2022-02-26,Sarawak,Asajaya
2021-09-09,Sarawak,Maradong
2021-09-10,Sarawak,Serian
2021-09-11,Sarawak,Pusa
2021-09-12,Sarawak,Kapit
2021-09-16,Sarawak,Kapit
2021-09-16,Sarawak,Lubok Antu
2021-09-17,Sarawak,Song
2021-09-22,Sarawak,Asajaya
2021-09-29,Sarawak,Tanjung Manis
2021-10-03,Sarawak,Serian
2021-10-07,Sarawak,Matu
2021-10-21,Sarawak,Kabong
2021-10-25,Sarawak,Telang Usan
2021-10-27,Sarawak,Mukah
2021-10-29,Sarawak,Marudi
2021-11-07,Sarawak,Sarikei
2021-11-08,Sarawak,Bau
2021-11-15,Sarawak,Simunjan
2021-11-22,Sarawak,Mukah
2021-11-25,Perak,Kinta
2021-11-26,Sarawak,Betong
2021-12-01,Sarawak,Maradong
2021-12-10,Sarawak,Betong
2021-12-22,Sarawak,Asajaya
2021-12-22,Sarawak,Subis
2021-12-24,Sarawak,Selangau
2021-12-27,Sarawak,Julau
2022-01-05,Sarawak,Tatau
2022-01-08,Sarawak,Bau
2022-01-09,Sarawak,Pusa
2022-01-10,Sarawak,Pusa
2022-01-15,Sarawak,Simunjan
2022-01-17,Sarawak,Beluru
2022-01-17,Sarawak,Julau
2022-01-20,Sarawak,Mukah
2022-01-27,Sarawak,Dalat
2022-02-10,Sarawak,Bintulu
2022-02-13,Sarawak,Asajaya
2022-02-14,Sarawak,Serian
2021-09-05,Sarawak,Pakan
2021-09-05,Sarawak,Telang Usan
2021-09-06,Sarawak,Maradong
2021-09-09,Sarawak,Subis
2021-09-10,Sarawak,Belaga
2021-09-13,Sarawak,Saratok
2021-09-25,Sarawak,Pusa
2021-10-05,Sarawak,Simunjan
2021-10-10,Sarawak,Simunjan
2021-10-10,Sarawak,Subis
2021-10-12,Sarawak,Matu
2021-10-15,Sarawak,Tatau
2021-10-23,Sarawak,Daro
2021-10-25,Sarawak,Kuching
2021-10-25,Sarawak,Tanjung Manis
2021-10-31,Sarawak,Daro
2021-11-07,Sarawak,Limbang
2021-11-10,Sarawak,Belaga
2021-11-11,Sarawak,Daro
2021-11-21,Sarawak,Lubok Antu
2021-11-25,Sarawak,Julau
2021-11-25,Sarawak,Samarahan
2021-12-06,Perak,Kinta
2021-12-07,Sarawak,Simunjan
2021-12-08,Sarawak,Belaga
2021-12-15,Sarawak,Limbang
2021-12-15,Sarawak,Sibu
2021-12-25,Sarawak,Sri Aman
2022-01-02,Sarawak,Belaga
2022-01-03,Sarawak,Kuching
2022-01-08,Sarawak,Miri
2022-01-12,Sarawak,Marudi
2022-01-14,Sarawak,Kapit
2022-01-17,Sarawak,Marudi
2022-01-17,Sarawak,Pusa
2022-01-19,Sarawak,Tanjung Manis
2022-01-23,Sarawak,Bintulu
2022-01-26,Sarawak,Lawas
2022-01-27,Sarawak,Sri Aman
2022-01-30,Sarawak,Selangau
2022-01-31,Sarawak,Bau
2022-02-04,Sarawak,Pakan
2022-02-14,Sarawak,Dalat
2022-02-18,Sarawak,Daro
2021-09-01,Sarawak,Sibu
2021-09-07,Sarawak,Tebedu
2021-09-08,Sarawak,Belaga
2021-09-10,Sarawak,Daro
2021-09-19,Sarawak,Dalat
2021-09-19,Sarawak,Serian
2021-09-24,Sarawak,Kanowit
2021-09-26,Sarawak,Song
2021-09-30,Sarawak,Simunjan
2021-10-04,Sarawak,Tebedu
2021-10-12,Sarawak,Sarikei
2021-10-28,Sarawak,Betong
2021-11-03,Sarawak,Song
2021-11-10,Sarawak,Julau
2021-11-12,Sarawak,Sri Aman
2021-11-14,Sarawak,Mukah
2021-11-17,Sarawak,Pusa
2021-11-18,Sarawak,Dalat
2021-11-26,Sarawak,Samarahan
2021-11-27,Sarawak,Pakan
2021-12-03,Sarawak,Tatau
2021-12-14,Sarawak,Serian
2021-12-16,Sarawak,Matu
2021-12-17,Sarawak,Daro
2021-12-22,Sarawak,Song
2022-01-01,Sarawak,Bintulu
2022-01-04,Sarawak,Maradong
2022-01-11,Sarawak,Belaga
2022-01-13,Sarawak,Belaga
2022-01-21,Sarawak,Bau
2022-01-21,Sarawak,Lundu
2022-01-30,Sarawak,Beluru
2022-01-30,Sarawak,Kanowit
2022-02-09,Sarawak,Miri
2022-02-19,Sarawak,Lawas
2022-02-24,Sarawak,Beluru
2021-09-04,Perak,Kinta
2021-09-05,Perak,Kinta
2021-09-05,Sarawak,Kabong
2021-09-11,Perak,Kinta
2021-09-20,Sarawak,Belaga
2021-09-22,Sarawak,Kuching
2021-09-27,Sarawak,Song
2021-10-06,Sarawak,Song
2021-10-07,Sarawak,Sibu
2021-10-11,Sarawak,Kabong
